འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
དུད་འགྲོའི་འགྲོ་བ་དག་གིས་ཀྱང་གནོད་པར་མི་འགྱུར་རོ། །མི་འཐུན་པས་ཡང་མི་འཐུན་པ་ལ་གནོད་པར་མི་འགྱུར་ཏེ། འདི་ལྟ་སྟེ། ནེའུ་ལེ་དང་། སྦྲུལ་ལྟ་བུ་སྟེ་ ||| Also, animals will not harm each other, even if they belong to opposing species, as in the case of mongooses and snakes.
ཡོན་ཏན་ཆེན་པོ་བརྒྱད་པོ་དེ་དག་དང་ལྡན་ནོ། ། ||| Thus, the jewel is endowed with these eight great qualities.
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་དེའི་གནོད་སེམས་སྤངས་པ་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པར་འགྱུར་བ་ནི་དེའི་བུ་ཡང་སྟོང་ཐམ་པར་འབྱུང་སྟེ། དཔའ་ཞིང་རྟུལ་ཕོད་ལ་ཡན་ལག་མཆོག་གི་གཟུགས་དང་ལྡན་པ། ཕ་རོལ་གྱི་སྡེ་མངོན་པར་འཇོམས་པ། ||| Moreover, due to the ripening of the universal monarch’s practice of giving up ill will, he will father a thousand sons, each of them bold and heroic, endowed with supreme physiques, conquerors of enemy armies.
བསམ་པའི་རྗེས་སུ་འཇུག་པ། ཆོས་དང་ལྡན་ཞིང་ཆོས་ཀྱི་རྗེས་སུ་འཇུག་པ། ||| All of them will follow through on their plans, be endowed with the Dharma, and act in accordance with the Dharma.
རིགས་འཐུན་པ། འཁོར་གྱི་སྐྱེ་བོ་ཐམས་ཅད་དགའ་ཞིང་རང་བཞིན་གྱིས་རྗེས་སུ་ཆགས་པ་དག་ཡིན་ནོ། ། ||| They will be in harmony with their family, and everyone around them will regard them with natural joy and affection.
དེ་ནས་གཞན་ཡང་གནོད་སེམས་སྤངས་པས་གསུམ་པ་འཇིག་རྟེན་དུ་འཁོར་ལོ་རིན་པོ་ཆེ་ཇི་ལྟར་འབྱུང་ཞེ་ན། ||| (3) “How does the precious wheel, which is the third result of giving up ill will, manifest within the world?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་བརྟགས་ན། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
འཁོར་ལོ་རིན་པོ་ཆེ་ཡོན་ཏན་ལྔ་དང་ལྡན་པར་མཐོང་སྟེ། ||| They perceive a precious wheel endowed with five qualities.
འདི་ལྟ་སྟེ། འཛམ་བུའི་ཆུ་བོའི་གསེར་ལས་བྱས་པ། ཚད་དཔག་ཚད་ལྔ་བརྒྱ་ཡོད་པ། རྩིབས་སྟོང་ཡོད་ཅིང་། འཇིག་རྟེན་ན་ཉི་མ་གཉིས་པ་ལྟ་བུར་རྣམ་པར་མཛེས་ཏེ། འདི་ནི་དེའི་ཡོན་ཏན་དང་པོ་ཡིན་ནོ། ། ||| As for the first quality, the wheel is made of gold from the Jambu River, measures five hundred leagues, has a thousand spokes, and shines beautifully, like a second sun in the world.
གཞན་ཡང་འཁོར་ལོ་རིན་པོ་ཆེའི་ཡོན་ཏན་གཉིས་པ་ནི་ནམ་མཁའ་ལ་དཔག་ཚད་འབུམ་དུ་ཉི་མ་གཅིག་གིས་ཐོགས་པ་མེད་པར་འགྲོའོ། ། ||| The second quality is that the wheel travels unhindered through the sky, crossing a hundred thousand leagues in a single day.
གཞན་ཡང་འཁོར་ལོ་རིན་པོ་ཆེ་དེའི་ཡོན་ཏན་གསུམ་པ་ནི་འདི་ལྟ་སྟེ། འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ནུབ་ཀྱི་བ་ལང་སྤྱོད་དང་། ཤར་གྱི་ལུས་འཕགས་པོ་དང་། བྱང་གི་སྒྲ་མི་སྙན་དང་། རྒྱལ་ཆེན་བཞིའི་ལྷའི་གནས་གང་དུ་འགྲོ་བར་འདོད་པ་དེ་དང་དེར་ནམ་མཁའ་ལ་འཁོར་ལོ་རྩིབས་སྟོང་ཡོད་པས་འགྲོ་ཞིང་། ||| Third, whether the universal king wishes to go to Godānīya in the west, Videha in the east, Kuru in the north, or to any of the divine realms of the Four Great Kings, the wheel with its thousand spokes travels ahead of him in the sky.
དེའི་མཐུས་དེའི་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་གླང་པོ་དང་། རྟ་དང་། ཤིང་རྟ་དང་། རྐང་ཐང་བ་དང་ལྷན་ཅིག་ཏུ་ནམ་མཁའ་ལ་འགྲོའོ། ། ||| By the power of the precious wheel his entire army with its four divisions of elephants, horses, chariots, and infantry will follow after, traversing the sky.
གཞན་ཡང་འཁོར་ལོ་རིན་པོ་ཆེ་དེའི་ཡོན་ཏན་བཞི་པ་ནི། འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་གང་མི་ཐོས་པ་དེ་འཁོར་ལོ་རིན་པོ་ཆེ་དེས་གྲོགས་བྱས་ཏེ་ཐོས་པར་བྱེད་དོ། ། ||| Fourth, the precious wheel articulates and makes audible all that the universal monarch cannot hear.
གཞན་ཡང་འཁོར་ལོ་རིན་པོ་ཆེ་དེའི་ཡོན་ཏན་ལྔ་པ་ནི་སྔོ་བ་གང་ཡང་མེད་དེ། ཆོས་དང་ལྡན་པའི་ཆོས་ཀྱི་རྗེས་སུ་འཇུག་པའི་རྒྱལ་པོ་ལ། རྒྱལ་པོའམ། བློན་པོའི་ཆོས་ཀྱི་གྲོགས་པོས་མཐོང་མ་ཐག་ཏུ་དེ་དག་ཐམས་ཅད་འབུལ་ཏེ། ||| The fifth quality is that, as soon as they see him, all kings and ministers who support the Dharma will without any hesitation offer themselves to the monarch, who is endowed with the Dharma and follows the Dharma.
དེ་ལྟར་འཁོར་ལོ་རིན་པོ་ཆེ་ཡོན་ཏན་ལྔ་དང་ལྡན་ནོ། ། ||| Such is the wheel’s fifth quality.
རིན་པོ་ཆེ་ཆེན་པོ་གསུམ་པ་བཤད་ཟིན་ཏོ། ། ||| This concludes the explanation of the third royal treasure.
དེ་ནས་གཞན་ཡང་གནོད་སེམས་སྤངས་པའི་དགེ་བའི་ལས་ཀྱི་མཐའ་སྤྱད་པ་དག་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོའི་བཞི་པ་གླང་པོ་རིན་པོ་ཆེ་ཇི་ལྟར་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་ཞེ་ན། ||| (4) “How does the universal monarch’s precious elephant manifest in the world to those who pursue the virtuous practice of giving up ill will?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
འདི་ལ་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཆོས་དང་ལྡན་ཞིང་ཆོས་ཀྱི་རྗེས་སུ་འཇུག་པའི་གླང་པོར་འགྱུར་བ་ནི་ཅང་ཤེས་པ། མཆོག་ཏུ་བཀའ་མཉན་པ། ཕ་རོལ་གྱི་སྡེ་ལས་རྒྱལ་བར་བྱེད་པ། ||| A universal monarch who is endowed with the Dharma and follows the Dharma will possess a purebred and perfectly obedient elephant that is victorious against his enemies in battle.
ཡན་ལག་བདུན་ལེགས་པར་གནས་པ་ཡིན་ཏེ ||| The elephant is endowed with seven perfect appendages:
འདི་ལྟ་སྟེ། རྐང་ལག་བཞི་དང་མཇུག་མ་མ་ཟེགས་པ་དང་། རླིག་པ་མདོམས་ཀྱི་གནས་ན་འདུག་པ་དང་། སྣ་ལེགས་པར་གནས་པ་སྟེ། ||| four legs, a tail that does not hang down, a penis in its groin, and a well-poised trunk.
དེ་དག་ལ་སོགས་པ་དེའི་ཡན་ལག་བདུན་དག་སའི་སྟེང་ན་ལེགས་པར་རབ་ཏུ་གནས་པ་ཡིན། ||| With these attributes the precious elephant stands firmly on the ground.
སྟོབས་ཆེ་བ་ཡིན་ཏེ། རང་བཞིན་གྱིས་གླང་པོ་ཆེ་སྟོང་གི་སྟོབས་ཡང་དག་པར་འཛིན་པར་བྱེད། ||| It is powerful and possesses the strength of one thousand normal elephants.
རྐན་འཇམ་པ་དང་ལྡན་ཞིང་མདོག་དཀར་བ་ཁ་བ་དང་དངུལ་གྱི་མདོག་ལྟ་བུ་ཡིན་ཏེ། ||| Its tusks are smooth and of a snowy white, silvery color.
འདི་ལྟ་སྟེ། བརྒྱ་བྱིན་གྱི་གླང་པོ་ཆེ་ལྟ་བུ་ཡིན་ལ། གླང་པོ་ཆེ་གཞན་དག་དེའི་དྲི་ཚོར་ནས་མདུན་དུ་འདུག་པར་མི་བྱེད་དོ། ། ||| It resembles the elephant of Śakra, and as soon as they smell it no other elephants can stand before it.
